"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","returns a list of the users current permissions","usePermissions","Tue Dec 23 00:56:58 UTC 2025","passed","Tue Dec 23 00:56:58 UTC 2025","","","",""
"Test cases for TestResources_DeleteSavedQueryPermissions","0","TestResources_DeleteSavedQueryPermissions","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQueryPermissions","TestResources_DeleteSavedQueryPermissions"
"","5","adds expected text alignment class depending on the textAlign prop","ColumnHeaders","Tue Dec 23 00:58:56 UTC 2025","passed","Tue Dec 23 00:58:56 UTC 2025","","BaseColumnHeader","",""
"Test cases for TestManagementResource_DeleteOIDCProvider","1","TestManagementResource_DeleteOIDCProvider","","Tue Dec 23 00:55:29 UTC 2025","passed","Tue Dec 23 00:55:29 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteOIDCProvider","TestManagementResource_DeleteOIDCProvider"
"Test cases for TestQueries_BuildEntityQueryParams_MissingObjectID","0","TestQueries_BuildEntityQueryParams_MissingObjectID","","Tue Dec 23 00:55:02 UTC 2025","passed","Tue Dec 23 00:55:02 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_BuildEntityQueryParams_MissingObjectID","TestQueries_BuildEntityQueryParams_MissingObjectID"
"","68","does not render tier icon tooltip when multi tier analysis is enabled and tier analysis is on","List","Tue Dec 23 00:56:49 UTC 2025","passed","Tue Dec 23 00:56:49 UTC 2025","","","",""
"","403","renders a preview version","Cypher Search component for Zone Management","Tue Dec 23 00:58:10 UTC 2025","passed","Tue Dec 23 00:58:10 UTC 2025","","","",""
"","26","returns a comma separated number when provided with a number > 999","numberFormatting","Tue Dec 23 00:59:37 UTC 2025","passed","Tue Dec 23 00:59:38 UTC 2025","","","",""
"","1","should return the edge parts from the key","getEdgeDataFromKey","Tue Dec 23 01:01:02 UTC 2025","passed","Tue Dec 23 01:01:02 UTC 2025","","","",""
"Test cases for TestResources_UpdateAssetGroupSelectors_SuccessOwned","0","TestResources_UpdateAssetGroupSelectors_SuccessOwned","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_SuccessOwned","TestResources_UpdateAssetGroupSelectors_SuccessOwned"
"Test cases for TestFloatFromPtr","0","TestFloatFromPtr","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFromPtr","TestFloatFromPtr"
"","7","keeps callbacks stable across renders","useObjectState","Tue Dec 23 00:59:17 UTC 2025","passed","Tue Dec 23 00:59:17 UTC 2025","","","",""
"","93","renders the analysis toggle when multi tier analysis enabled is true and when editing an existing zone","Tag Form","Tue Dec 23 00:55:53 UTC 2025","passed","Tue Dec 23 00:55:53 UTC 2025","","","",""
"","102","should render a button with the passed in display text","GraphButton","Tue Dec 23 00:59:54 UTC 2025","passed","Tue Dec 23 00:59:55 UTC 2025","","","",""
"","605","sets exploreSearchTab param to cypher when the user clicks the `cypher` tab","ExploreSearch sets searchType on tab changing","Tue Dec 23 01:00:24 UTC 2025","passed","Tue Dec 23 01:00:25 UTC 2025","","","",""
"","297","sets a primarySearch=id and searchType=node when secondarySearch is falsey","ContextMenu","Tue Dec 23 00:56:39 UTC 2025","passed","Tue Dec 23 00:56:39 UTC 2025","","","",""
"","605","open and closes dialog with confirm button after user inputs required text","Tag Form","Tue Dec 23 00:55:56 UTC 2025","passed","Tue Dec 23 00:55:57 UTC 2025","","","",""
"","24","renders custom icon overlap correctly","NodeIcon","Tue Dec 23 00:59:14 UTC 2025","passed","Tue Dec 23 00:59:14 UTC 2025","","","",""
"","1511","renders","DatabaseManagement","Tue Dec 23 01:00:29 UTC 2025","passed","Tue Dec 23 01:00:31 UTC 2025","","","",""
"","65","renders a link to the documentation","BloodHoundConfiguration","Tue Dec 23 01:01:06 UTC 2025","passed","Tue Dec 23 01:01:06 UTC 2025","","","",""
"","5","removes a notification","AppNotifications","Tue Dec 23 00:58:42 UTC 2025","passed","Tue Dec 23 00:58:42 UTC 2025","","","",""
"","154","Verify Vault Reader count is the count returned by All Readers","EntityInfoDataTableGraphed","Tue Dec 23 00:57:03 UTC 2025","passed","Tue Dec 23 00:57:03 UTC 2025","","Node count for Vault Readers nested table","",""
"Test cases for TestGetAzureDataQualityStats_Success","1","TestGetAzureDataQualityStats_Success","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetAzureDataQualityStats_Success","TestGetAzureDataQualityStats_Success"
"","867","renders group and tenant dropdown selectors","GroupManagement","Tue Dec 23 01:00:34 UTC 2025","passed","Tue Dec 23 01:00:35 UTC 2025","","","",""
"","453","when an `inputValue` is provided it eventually displays a list of search results","ExploreSearchCombobox","Tue Dec 23 00:56:57 UTC 2025","passed","Tue Dec 23 00:56:58 UTC 2025","","","",""
"Test cases for Test_GetAssetGroupMembersBySelector","3","Test_GetAssetGroupMembersBySelector","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersBySelector","Test_GetAssetGroupMembersBySelector"
"Test cases for TestResources_DeleteAssetGroupTagSelector","1","TestResources_DeleteAssetGroupTagSelector","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteAssetGroupTagSelector","TestResources_DeleteAssetGroupTagSelector"
"","1238","should display all available SSO providers","UpdateUserDialog","Tue Dec 23 00:56:23 UTC 2025","passed","Tue Dec 23 00:56:24 UTC 2025","","","",""
"","348","calls onToggleNodeLabels when click show all node labels","GraphControls","Tue Dec 23 00:56:30 UTC 2025","passed","Tue Dec 23 00:56:30 UTC 2025","","Toggling labels","",""
"","229","should render a single section with a single navigation item","SubNav","Tue Dec 23 00:58:49 UTC 2025","passed","Tue Dec 23 00:58:49 UTC 2025","","","",""
"Test cases for TestContextMiddleware","0","TestContextMiddleware","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestContextMiddleware","TestContextMiddleware"
"","1342","should call the setCypherQuery handler when the value in the editor changes","CypherSearch","Tue Dec 23 00:58:13 UTC 2025","passed","Tue Dec 23 00:58:14 UTC 2025","","","",""
"","45","whencreated","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Tue Dec 23 00:57:04 UTC 2025","passed","Tue Dec 23 00:57:04 UTC 2025","","","",""
"","860","allows switching between the Zones and Labels tabs","Zone Management","Tue Dec 23 00:59:14 UTC 2025","passed","Tue Dec 23 00:59:15 UTC 2025","","","",""
"","24","selector members refetches on sort change","the useAssetGroupTags utilities","Tue Dec 23 00:56:45 UTC 2025","passed","Tue Dec 23 00:56:45 UTC 2025","","","",""
"Test cases for TestNodeNamePrefix_String","0","TestNodeNamePrefix_String","","Tue Dec 23 00:55:10 UTC 2025","passed","Tue Dec 23 00:55:10 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNodeNamePrefix_String","TestNodeNamePrefix_String"
"","142","renders a confirm dialg","ConfirmDeleteQueryDialog","Tue Dec 23 00:59:44 UTC 2025","passed","Tue Dec 23 00:59:44 UTC 2025","","","",""
"Test cases for TestUnmarshalNonIntegerNumberToInt64","0","TestUnmarshalNonIntegerNumberToInt64","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalNonIntegerNumberToInt64","TestUnmarshalNonIntegerNumberToInt64"
"","13","sets autoDisplayTable to false if query returns no results","useExploreTableAutoDisplay","Tue Dec 23 00:58:52 UTC 2025","passed","Tue Dec 23 00:58:52 UTC 2025","","","",""
"","0","Origin label and sizing are used when specified","copySigmaNodesToGraphlibGraph","Tue Dec 23 01:00:54 UTC 2025","passed","Tue Dec 23 01:00:54 UTC 2025","","","",""
"","137","renders a preview version by default","Cypher Search component for Zone Management","Tue Dec 23 00:58:10 UTC 2025","passed","Tue Dec 23 00:58:10 UTC 2025","","","",""
"","246","renders correctly with requiresCurrentPassword true","PasswordDialog","Tue Dec 23 00:56:11 UTC 2025","passed","Tue Dec 23 00:56:11 UTC 2025","","","",""
"","134","should fire Confirm once with true","ConfirmationDialog","Tue Dec 23 00:59:39 UTC 2025","passed","Tue Dec 23 00:59:39 UTC 2025","","","",""
"","5563","filter selections are rolled back if user closes modal with the cancel button","EdgeFilter","Tue Dec 23 00:57:50 UTC 2025","passed","Tue Dec 23 00:57:56 UTC 2025","","","",""
"","126","invokes handleFilterChange with eq:false when clicked and custom_member filter is on","AssetGroupEdit","Tue Dec 23 00:56:51 UTC 2025","passed","Tue Dec 23 00:56:51 UTC 2025","","Custom Member checkbox filter","",""
"Test cases for TestResources_ProcessIngestTask","5","TestResources_ProcessIngestTask","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ProcessIngestTask","TestResources_ProcessIngestTask"
"Test cases for TestResources_ListAuditLogs_PredicateMismatchWithColumn","0","TestResources_ListAuditLogs_PredicateMismatchWithColumn","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_PredicateMismatchWithColumn","TestResources_ListAuditLogs_PredicateMismatchWithColumn"
"","19","displays a status label","StatusIndicator","Tue Dec 23 00:59:42 UTC 2025","passed","Tue Dec 23 00:59:42 UTC 2025","","","",""
"","366","should display correctly","ConfirmationDialog","Tue Dec 23 00:59:38 UTC 2025","passed","Tue Dec 23 00:59:39 UTC 2025","","","",""
"","1","lastlogon, lastlogontimestamp","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Tue Dec 23 00:57:04 UTC 2025","passed","Tue Dec 23 00:57:04 UTC 2025","","","",""
"","902","handles adding to tier zero asset group","AssetGroupMenuItem","Tue Dec 23 01:00:21 UTC 2025","passed","Tue Dec 23 01:00:22 UTC 2025","","adding to an asset group","",""
"Test cases for TestMarshalBoolText","0","TestMarshalBoolText","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBoolText","TestMarshalBoolText"
"Test cases for TestTimePointer","0","TestTimePointer","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimePointer","TestTimePointer"
"","250","The API key management option should appear in profile page if the user is configured for SAML login","UserProfile with SSO User","Tue Dec 23 00:57:46 UTC 2025","passed","Tue Dec 23 00:57:46 UTC 2025","","","",""
"Test cases for TestGetLimitParamForGraphQuery","0","TestGetLimitParamForGraphQuery","","Tue Dec 23 00:55:07 UTC 2025","passed","Tue Dec 23 00:55:07 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetLimitParamForGraphQuery","TestGetLimitParamForGraphQuery"
"","795","calls the passed in select handler when clicking the Confirm button","Glyph Select Dialog","Tue Dec 23 00:59:28 UTC 2025","passed","Tue Dec 23 00:59:29 UTC 2025","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_Admin","3","TestResources_ShareSavedQueriesPermissions_Admin","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_Admin","TestResources_ShareSavedQueriesPermissions_Admin"
"Test cases for TestIntEqual","0","TestIntEqual","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntEqual","TestIntEqual"
"","10","displays CaretUp icon when the sortOrder is asc","ColumnHeaders","Tue Dec 23 00:58:56 UTC 2025","passed","Tue Dec 23 00:58:56 UTC 2025","","SortableHeader","",""
"Test cases for TestRequestWaitDuration_Failure","0","TestRequestWaitDuration_Failure","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequestWaitDuration_Failure","TestRequestWaitDuration_Failure"
"","856","should render","CypherSearch","Tue Dec 23 00:58:12 UTC 2025","passed","Tue Dec 23 00:58:13 UTC 2025","","","",""
"Test cases for TestMarshalFloat","0","TestMarshalFloat","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalFloat","TestMarshalFloat"
"","111","renders a snackbar notification in the dom and tests the long autoHideDuration","AppNotifications","Tue Dec 23 00:58:43 UTC 2025","passed","Tue Dec 23 00:58:43 UTC 2025","","","",""
"","130","Disable Analyze Now and change to Analyzing if datapipe status is different from ""idle""","AnalyzeNowConfiguration","Tue Dec 23 00:57:07 UTC 2025","passed","Tue Dec 23 00:57:07 UTC 2025","","","",""
"Test cases for Test_ParseSortParameters","0","Test_ParseSortParameters","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseSortParameters","Test_ParseSortParameters"
"Test cases for TestEncodingValues","0","TestEncodingValues","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingValues","TestEncodingValues"
"Test cases for TestManagementResource_ListAuthTokens_InvalidFilterPredicate","0","TestManagementResource_ListAuthTokens_InvalidFilterPredicate","","Tue Dec 23 00:55:20 UTC 2025","passed","Tue Dec 23 00:55:20 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_InvalidFilterPredicate","TestManagementResource_ListAuthTokens_InvalidFilterPredicate"
"","6","renders without pulse animation by default","StatusIndicator","Tue Dec 23 00:59:42 UTC 2025","passed","Tue Dec 23 00:59:42 UTC 2025","","","",""
"Test cases for TestResources_GetAZRelatedEntities","65","TestResources_GetAZRelatedEntities","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAZRelatedEntities","TestResources_GetAZRelatedEntities"
"","124","links to the specified route with global params intact","AppLink","Tue Dec 23 00:58:09 UTC 2025","passed","Tue Dec 23 00:58:09 UTC 2025","","","",""
"","63","indicates the code container is scrollable when the code is unwrapped","CodeController","Tue Dec 23 00:59:36 UTC 2025","passed","Tue Dec 23 00:59:36 UTC 2025","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_NonAdmin","2","TestResources_ShareSavedQueriesPermissions_NonAdmin","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_NonAdmin","TestResources_ShareSavedQueriesPermissions_NonAdmin"
"Test cases for TestLoginFailure","0","TestLoginFailure","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginFailure","TestLoginFailure"
"","0","An unknown error occurred when fetching the data","Getting the text for the disabled item display for a search when there are no results","Tue Dec 23 00:57:57 UTC 2025","passed","Tue Dec 23 00:57:57 UTC 2025","","Error states","",""
"","543","renders the form for creating a new zone","Tag Form","Tue Dec 23 00:55:52 UTC 2025","passed","Tue Dec 23 00:55:52 UTC 2025","","","",""
"Test cases for TestManagementResource_UpdateUser_ETAC","1698","TestManagementResource_UpdateUser_ETAC","","Tue Dec 23 00:55:18 UTC 2025","passed","Tue Dec 23 00:55:20 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_ETAC","TestManagementResource_UpdateUser_ETAC"
"","235","shows a loading state","FileIngestTable","Tue Dec 23 00:59:02 UTC 2025","passed","Tue Dec 23 00:59:02 UTC 2025","","","",""
"Test cases for TestManagementResource_ListRoles","1","TestManagementResource_ListRoles","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles","TestManagementResource_ListRoles"
"Test cases for TestResources_ListADEntityDCOMRights","0","TestResources_ListADEntityDCOMRights","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityDCOMRights","TestResources_ListADEntityDCOMRights"
"Test cases for TestMarshalFloatText","0","TestMarshalFloatText","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalFloatText","TestMarshalFloatText"
"","2","returns paramValue if it is one of the expected values","useExploreParams","Tue Dec 23 01:00:00 UTC 2025","passed","Tue Dec 23 01:00:00 UTC 2025","","parseSearchType","",""
"Test cases for TestManagementResource_DeleteUser_BadUserID","0","TestManagementResource_DeleteUser_BadUserID","","Tue Dec 23 00:55:15 UTC 2025","passed","Tue Dec 23 00:55:15 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_BadUserID","TestManagementResource_DeleteUser_BadUserID"
